Generation,ID,Name,Type1,Type2,HP,Defense,Attack,SP Defense,Link
1,1,Bulbasaur,grass,poison,45,65,65,49,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/1.png
1,4,Charmander,fire,,65,60,50,52,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/4.png
1,7,Squirtle,water,,43,50,64,48,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/7.png
1,10,Caterpie,bug,,45,20,20,30,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10.png
1,13,Weedle,bug,poison,50,20,20,35,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/13.png
1,16,Pidgey,normal,flying,56,35,35,45,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/16.png
1,19,Rattata,normal,,72,25,35,56,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/19.png
1,21,Spearow,normal,flying,70,31,31,60,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/21.png
1,23,Ekans,poison,,55,40,54,60,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/23.png
1,27,Sandshrew,ground,,40,20,30,75,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/27.png
1,29,Nidoran-F,poison,,41,40,40,47,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/29.png
1,32,Nidoran-M,poison,,50,40,40,57,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/32.png
1,37,Vulpix,fire,,65,50,65,41,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/37.png
1,41,Zubat,poison,flying,55,30,40,45,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/41.png
1,43,Oddish,grass,poison,30,75,65,50,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/43.png
1,46,Paras,bug,grass,25,45,55,70,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/46.png
1,48,Venonat,bug,poison,45,40,55,55,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/48.png
1,50,Diglett,ground,,95,35,45,55,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/50.png
1,52,Meowth,normal,,90,40,40,45,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/52.png
1,54,Psyduck,water,,55,65,50,52,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/54.png
1,56,Mankey,fighting,,70,35,45,80,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/56.png
1,58,Growlithe,fire,,60,70,50,70,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/58.png
